"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1380","Census Tract 224010","2524","Census Tract 001504","1/1/2018 - 1/31/2018, Every day, Daily Average",2293,1800,2919
"1380","Census Tract 224010","2526","Census Tract 001506","1/1/2018 - 1/31/2018, Every day, Daily Average",2159,1660,2807
"1380","Census Tract 224010","2527","Census Tract 001507","1/1/2018 - 1/31/2018, Every day, Daily Average",2204,1717,2828
"1380","Census Tract 224010","2530","Census Tract 021814","1/1/2018 - 1/31/2018, Every day, Daily Average",2407,1892,3061
"1380","Census Tract 224010","2532","Census Tract 001801","1/1/2018 - 1/31/2018, Every day, Daily Average",1885,1301,2729
"1380","Census Tract 224010","2540","Census Tract 110301","1/1/2018 - 1/31/2018, Every day, Daily Average",1737,1304,2312
"1380","Census Tract 224010","2541","Census Tract 110302","1/1/2018 - 1/31/2018, Every day, Daily Average",1770,1343,2332
"1380","Census Tract 224010","2544","Census Tract 110401","1/1/2018 - 1/31/2018, Every day, Daily Average",1695,1229,2337
"1380","Census Tract 224010","2545","Census Tract 110402","1/1/2018 - 1/31/2018, Every day, Daily Average",1897,1400,2569
"1380","Census Tract 224010","2546","Census Tract 110500","1/1/2018 - 1/31/2018, Every day, Daily Average",1631,1168,2277
"1380","Census Tract 224010","2547","Census Tract 110603","1/1/2018 - 1/31/2018, Every day, Daily Average",1598,1131,2257
"1380","Census Tract 224010","2548","Census Tract 110604","1/1/2018 - 1/31/2018, Every day, Daily Average",1994,1444,2752
"1380","Census Tract 224010","2549","Census Tract 110606","1/1/2018 - 1/31/2018, Every day, Daily Average",1580,1118,2232
"1380","Census Tract 224010","2550","Census Tract 110607","1/1/2018 - 1/31/2018, Every day, Daily Average",1846,1319,2583
"1380","Census Tract 224010","2571","Census Tract 001704","1/1/2018 - 1/31/2018, Every day, Daily Average",2127,1591,2843
"1380","Census Tract 224010","2574","Census Tract 001707","1/1/2018 - 1/31/2018, Every day, Daily Average",2032,1533,2692
